	bookNo	author	year	book
0	11	Lewis Carroll	1865	Alice's Adventures in Wonderland
1	13	Lewis Carroll	1876	The Hunting of the Snark
2	15	Herman Melville	1851	Moby-Dick
3	16	James M. Barrie	1911	Peter Pan
4	19	Henry W. Longfellow	1855	The Song of Hiawatha
5	20	John Milton	1667	Paradise Lost
6	22	Peter Mark Roget	1862	Roget's Thesaurus
7	24	Willa Cather	1913	O Pioneers!
8	26	John Milton	1667	Paradise Lost
9	27	Thomas Hardy	1874	Far from the Madding Crowd
10	32	Charlotte Perkins Stetson Gilman	1915	Herland
11	33	Nathaniel Hawthorne	1850	The Scarlet Letter
12	35	H. G. Wells	1895	The Time Machine
13	36	H. G. Wells	1898	The War of the Worlds
14	39	Ed Krol	1987	Hitchhiker's Guide to the Internet
15	44	Willa Cather	2002	The Story of Lucy Gault
16	45	Lucy Maud Montgomery	1908	Anne of Green Gables
17	46	Charles Dickens	1843	A Christmas Carol
18	47	Lucy Maud Montgomery	1909	Anne of Avonlea
19	51	Lucy Maud Montgomery	1915	Anne of the Island
20	54	L. Frank Baum	1904	The Marvelous Land of Oz
21	55	L. Frank Baum	1900	The Wonderful Wizard of Oz
22	58	John Milton	1671	Paradise Regained
23	61	Karl Marx and Friedrich Engels	1848	The Communist Manifesto
24	62	Edgar Rice Burroughs	1917	A Princess of Mars
25	64	Edgar Rice Burroughs	1918	The Gods of Mars
26	72	Edgar Rice Burroughs	1920	Thuvia, Maid of Mars
27	73	Stephen Crane	1895	The Red Badge of Courage
28	74	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
29	76	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
30	76	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
31	77	Nathaniel Hawthorne	1851	The House of the Seven Gables
32	78	Edgar Rice Burroughs	1912	Tarzan of the Apes
33	81	Edgar Rice Burroughs	1913	The Return of Tarzan
34	82	Walter Scott	1820	Ivanhoe
35	83	Jules Verne	1865	From the Earth to the Moon
36	84	Mary Wollstonecraft (Godwin) Shelley	1818	Frankenstein
37	85	Edgar Rice Burroughs	1914	The Beasts of Tarzan
38	86	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
39	90	Edgar Rice Burroughs	1915	The Son of Tarzan
40	91	Mark Twain (Samuel Clemens)	1894	Tom Sawyer Abroad
41	92	Edgar Rice Burroughs	1916	Tarzan and the Jewels of Opar
42	93	Mark Twain (Samuel Clemens)	1896	Tom Sawyer, Detective
43	95	Anthony Hope	1894	The Prisoner of Zenda
44	96	Edgar Rice Burroughs	1929	The Monster Men
45	97	Edwin A. Abbott	1884	Flatland
46	98	Charles Dickens	1859	A Tale of Two Cities
47	103	Jules Verne	1872	Around the World in Eighty Days
48	105	Jane Austen	1818	Persuasion
49	106	Edgar Rice Burroughs	1919	Jungle Tales of Tarzan
50	107	Thomas Hardy	1874	Far from the Madding Crowd
51	108	Arthur Conan Doyle	1892	The Adventures of Sherlock Holmes
52	110	Thomas Hardy	1891	Tess of the d'Urbervilles
53	111	Gene Stratton-Porter	1904	Freckles
54	113	Frances Hodgson Burnett	1911	The Secret Garden
55	119	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
56	120	Robert Louis Stevenson	1883	Treasure Island
57	121	Jane Austen	1817	Northanger Abbey
58	122	Thomas Hardy	1878	The Return of the Native
59	123	Edgar Rice Burroughs	1914	At the Earth's Core
60	126	Arthur Conan Doyle	1913	The Poison Belt
61	130	G. K. Chesterton	1908	Orthodoxy
62	131	John Bunyan	1678	The Pilgrim's Progress
63	133	Harold Frederic	1896	The Damnation of Theron Ware
64	134	Mary Wollstonecraft	1894	Maria
65	135	Victor Hugo	1862	Les Misérables
66	136	Robert Louis Stevenson	1885	A Child's Garden of Verses
67	140	Upton Sinclair	1905	The Jungle
68	140	Upton Sinclair	2011	The Jungle
69	141	Jane Austen	1814	Mansfield Park
70	143	Thomas Hardy	1886	The Mayor of Casterbridge
71	144	Virginia Woolf	1915	The Voyage Out
72	145	George Eliot	1871	Middlemarch
73	147	Thomas Paine	1776	Common Sense
74	147	Thomas Paine	1993	Common Sense
75	148	Benjamin Franklin	1791	The Autobiography of Benjamin Franklin
76	151	Samuel Taylor Coleridge	1798	The Rime of the Ancient Mariner
77	153	Thomas Hardy	1895	Jude the Obscure
78	154	William Dean Howells	1885	The Rise of Silas Lapham
79	155	Wilkie Collins	1868	The Moonstone
80	157	Jean Webster	1912	Daddy-Long-Legs
81	158	Jane Austen	1815	Emma
82	159	H. G. Wells	1896	The Island of Doctor Moreau
83	161	Jane Austen	1811	Sense and Sensibility
84	164	Jules Verne	1869	Twenty Thousand Leagues Under the Sea
85	165	Frank Norris	1899	McTeague
86	169	William Morris	1896	The Well at the World's End
87	172	Christopher Morley	1919	The Haunted Bookshop
88	174	Oscar Wilde	1890	The Picture of Dorian Gray
89	175	Gaston Leroux	1910	The Phantom of the Opera
90	176	Henry James	1875	Roderick Hudson
91	178	Henry James	1879	Confidence
92	179	Henry James	1878	The Europeans
93	208	Henry James	1879	Daisy Miller
94	211	Henry James	1888	The Aspern Papers
95	213	Andrew Barton 'Banjo' Paterson	1895	The Man from Snowy River and Other Verses
96	214	Henry Lawson	1896	In the Days When the World was Wide and Other Verses
97	215	Jack London	1903	The Call of the Wild
98	220	Joseph Conrad	1912	The Secret Sharer
99	221	Arthur Conan Doyle	1892	The Adventures of Sherlock Holmes
100	222	W. Somerset Maugham	1919	The Moon and Sixpence
101	223	G. K. Chesterton	1914	The Wisdom of Father Brown
102	224	Thomas Hardy	1873	A Pair of Blue Eyes
103	225	George MacDonald	1871	At the Back of the North Wind
104	233	Theodore Dreiser	1900	Sister Carrie
105	238	Jean Webster	1915	Dear Enemy
106	241	William Wells Brown	1853	Clotel
107	242	Willa Cather	1918	My Ántonia
108	244	Arthur Conan Doyle	1887	A Study in Scarlet
109	245	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
110	266	John Gower	1667	Paradise Lost
111	269	Saki	1914	Beasts and Super-Beasts
112	270	Kenneth Grahame	1898	Dream days
113	271	Anna Sewell	1877	Black Beauty
114	281	Robert Louis Stevenson	1992	Fatherland
115	283	Edith Wharton	1912	The Reef
116	289	Kenneth Grahame	1908	The Wind in the Willows
117	301	Oscar Wilde	1898	The Ballad of Reading Gaol
118	304	Andrew Barton 'Banjo' Paterson	1902	Rio Grande's Last Race and Other Verses
119	308	Jerome K. Jerome	1889	Three Men in a Boat
120	310	Jack London	1907	Before Adam
121	318	Jack London	1913	John Barleycorn
122	325	George MacDonald	1858	Phantastes
123	329	Robert Louis Stevenson	1893	Island Nights' Entertainments
124	331	Edgar Rice Burroughs	1921	The Mucker
125	344	Robert Louis Stevenson	1882	The Merry Men
126	345	Bram Stoker	1897	Dracula
127	351	W. Somerset Maugham	1915	Of Human Bondage
128	356	Arthur Conan Doyle	1892	Beyond the City
129	357	William Morris	1888	A Dream of John Ball
130	363	Edgar Rice Burroughs	1974	The Oakdale Affair
131	364	Edgar Rice Burroughs	1926	The Mad King
132	365	Mary Austin	1903	The Land of Little Rain
133	369	Edgar Rice Burroughs	1927	The Outlaw of Torn
134	372	Robert Louis Stevenson	1885	Prince Otto
135	375	Ambrose Bierce	1890	An Occurrence at Owl Creek Bridge
136	376	Daniel Defoe	1722	A Journal of the Plague Year
137	380	Robert Louis Stevenson	1896	Weir of Hermiston
138	381	Robert Louis Stevenson	1887	Memories and Portraits
139	384	Francis Hodgson Burnett	2012	The Lost Prince
140	384	Francis Hodgson Burnett	1915	The Lost Prince
141	389	Arthur Machen	1894	The Great God Pan
142	392	Torquato Tasso	1581	Jerusalem Delivered
143	393	H. de Vere Stacpoole	1908	The Blue Lagoon
144	394	Elizabeth Cleghorn Gaskell	1851	Cranford
145	396	Frank R. Stockton	1882	The Lady, or the Tiger?
146	402	Booth Tarkington	1914	Penrod
147	408	W. E. B. Du Bois	1903	The Souls of Black Folk
148	416	Sherwood Anderson	1919	Winesburg, Ohio
149	419	L. Frank Baum	1919	The Magic of Oz
150	420	L. Frank Baum.	1908	Dorothy and the Wizard in Oz
151	421	Robert Louis Stevenson	1886	Kidnapped
152	426	Robert Louis Stevenson	1905	Tales and Fantasies
153	432	Henry James	1903	The Ambassadors
154	434	Mary Roberts Rinehart	1908	The Circular Staircase
155	438	Robert Louis Stevenson	1887	Underwoods
156	439	Arthur Conan Doyle	1919	The Vital Message
157	440	Eleanor H. Porter	1916	Just David
158	447	Stephen Crane	1893	Maggie: A Girl of the Streets
159	451	Joseph Conrad	1917	The Shadow Line
160	452	George Borrow	1851	Lavengro
161	456	H. G. Wells	1938	The Sword in the Stone
162	458	Don Marquis	1915	Dreams and Dust
163	463	Stephen Crane	1895	The Red Badge of Courage
164	470	Gilbert K. Chesterton	1905	Heretics
165	479	Frances Hodgson Burnett	1885	Little Lord Fauntleroy
166	480	Joe Hutsko	1860	Unto This Last
167	482	Thomas Hardy	1887	The Woodlanders
168	485	L. Frank Baum	1909	The Road to Oz
169	486	L. Frank Baum	1907	Ozma of Oz
170	493	Joseph Conrad	1903	Falk
171	494	Joseph Conrad	1993	Tomorrow, When the War Began
172	495	Joseph Conrad	1901	Amy Foster
173	498	Kate Douglas Wiggin	1903	Rebecca of Sunnybrook Farm
174	499	Victor Appleton	1917	Tom Swift in the Land of Wonders
175	501	Hugh Lofting	1920	The Story of Doctor Dolittle
176	502	Zane Grey	1913	Desert Gold
177	507	George Eliot	1859	Adam Bede
178	509	Joseph Sheridan Le Fanu	1975	The Purcell Papers
179	509	Joseph Sheridan Le Fanu	1880	The Purcell Papers
180	510	Joseph Sheridan Le Fanu	1880	The Purcell Papers
181	510	Joseph Sheridan Le Fanu	1975	The Purcell Papers
182	511	Joseph Sheridan Le Fanu	1975	The Purcell Papers
183	511	Joseph Sheridan Le Fanu	1880	The Purcell Papers
184	512	Nathaniel Hawthorne	1846	Mosses from an Old Manse
185	514	Louisa May Alcott	1868	Little Women
186	516	Robert Louis Stevenson	1883	The Silverado Squatters
187	517	L. Frank Baum	1910	The Emerald City of Oz
188	518	L. Frank Baum	1903	The Enchanted Island of Yew
189	520	L. Frank Baum	1912	The Life and Adventures of Santa Claus
190	524	H. G. Wells	1909	Ann Veronica
191	534	Robert Louis Stevenson	1878	An Inland Voyage
192	535	Robert Louis Stevenson	1879	Travels with a Donkey in the Cévennes
193	541	Edith Wharton	1920	The Age of Innocence
194	541	Edith Wharton	1995	The Age of Innocence
195	543	Sinclair Lewis	1920	Main Street
196	544	Lucy Maud Montgomery	1917	Anne's House of Dreams
197	545	Edgar Rice Burroughs	1914	At the Earth's Core
198	549	Mariano Azuela	1915	The Underdogs
199	550	George Eliot	1861	Silas Marner
200	551	Edgar Rice Burroughs	1924	The Land That Time Forgot
201	552	Edgar Rice Burroughs	1963	The People That Time Forgot
202	553	Edgar Rice Burroughs	1963	Out of Time's Abyss
203	556	Rudyard Kipling	1910	Rewards and Fairies
204	557	Rudyard Kipling	1906	Puck of Pook's Hill
205	558	John Buchan	1915	The Thirty-Nine Steps
206	559	John Buchan	1916	Greenmantle
207	560	John Buchan	1919	Mr Standfast
208	564	Charles Dickens	1870	The Mystery of Edwin Drood
209	573	Charles and Mary Lamb	1837	Tales from Shakspeare
210	573	Charles and Mary Lamb	1918	Tales from Shakspeare
211	573	Charles and Mary Lamb	1807	Tales from Shakspeare
212	573	Charles and Mary Lamb	1922	Tales from Shakspeare
213	580	Charles Dickens	1836	The Pickwick Papers
214	583	Wilkie Collins	1860	The Woman in White
215	584	Harriet E. Wilson	1859	Our Nig
216	588	Charles Dickens	1840	Master Humphrey's Clock
217	589	Robert Louis Stevenson	1893	Catriona
218	599	William Makepeace Thackeray	1848	Vanity Fair
219	600	Feodor Dostoevsky	2014	Notes from Underground
220	600	Feodor Dostoevsky	1864	Notes from Underground
221	605	Edgar Rice Burroughs	1915	Pellucidar
222	608	John Milton	1644	Areopagitica
223	611	John Buchan	1910	Prester John
224	614	Robert Louis Stevenson	1892	Across the Plains
225	615	Lodovico Ariosto	1516	Orlando Furioso
226	615	Lodovico Ariosto	1532	Orlando Furioso
227	619	Anthony Trollope	1855	The Warden
228	620	Lewis Carroll	1889	Sylvie and Bruno
229	621	William James	1902	The Varieties of Religious Experience
230	623	Jonathan Swift	1704	The Battle of the Books
231	638	Joseph Conrad	1896	An Outcast of the Islands
232	642	Henry James	1895	The Altar of the Dead
233	643	Henry James	1895	The Death of the Lion
234	644	Charles Dickens	1848	The Haunted Man and the Ghost's Bargain
235	645	Henry James	1896	The Figure in the Carpet
236	647	Robert Louis Stevenson	1879	Travels with a Donkey in the Cévennes
237	648	George Borrow	1862	Wild Wales
238	650	Charles Dickens	1846	Pictures from Italy
239	653	Charles Dickens	1844	The Chimes
240	654	John Bunyan	1666	Grace Abounding to the Chief of Sinners
241	678	Charles Dickens	1845	The Cricket on the Hearth
242	683	Izaak Walton	1653	The Compleat Angler
243	687	Joseph Conrad	1912	A Personal Record
244	689	Leo Tolstoi	1889	The Kreutzer Sonata
245	696	Horace Walpole	1764	The Castle of Otranto
246	696	Horace Walpole	1765	The Castle of Otranto
247	699	Charles Dickens	1851	A Child's History of England
248	700	Charles Dickens	1840	The Old Curiosity Shop
249	701	John Ruskin.	1842	The King of the Golden River
250	708	George MacDonald	1872	The Princess and the Goblin
251	711	H. Rider Haggard	1887	Allan Quatermain
252	718	H. G. Wells	1909	Tono-Bungay
253	720	Joseph Conrad	1895	Almayer's Folly
254	729	Stephen Levy	1984	Hackers: Heroes of the Computer Revolution
255	730	Charles Dickens	1838	Oliver Twist
256	746	Jack London	1910	Burning Daylight
257	751	Oliver Wendell Holmes	1858	The Autocrat of the Breakfast-Table
258	754	Hendrik van Loon	1921	The Story of Mankind
259	766	Charles Dickens	1850	David Copperfield
260	767	Anne Bronte	1847	Agnes Grey
261	768	Emily Bronte	1847	Wuthering Heights
262	770	E. Nesbit	1899	The Story of the Treasure Seekers
263	773	Oscar Wilde	1887	Lord Arthur Savile's Crime
264	777	William J. Claxton	2002	The Story of Lucy Gault
265	782	John Mandeville	1356	The Travels of Sir John Mandeville
266	786	Charles Dickens	1854	Hard Times
267	804	Laurence Sterne	1768	A Sentimental Journey Through France and Italy
268	805	F. Scott Fitzgerald	1920	This Side of Paradise
269	821	Charles Dickens	1848	Dombey and Son
270	829	Jonathan Swift	1726	Gulliver's Travels
271	833	Thorstein Veblen	1899	The Theory of the Leisure Class
272	834	Sir Arthur Conan Doyle	1894	The Memoirs of Sherlock Holmes
273	836	E. Nesbit	1904	The Phoenix and the Carpet
274	837	E. Nesbit	1906	The Story of the Amulet
275	848	Robert Louis Stevenson	1879	Travels with a Donkey in the Cévennes
276	850	F. Hopkinson Smith	1896	Tom Grogan
277	852	John Dewey	1916	Democracy and Education
278	863	Agatha Christie	1920	The Mysterious Affair at Styles
279	864	Robert Louis Stevenson	1889	The Master of Ballantrae
280	875	Oscar Wilde	1890	The Picture of Dorian Gray
281	883	Charles Dickens	1864	Our Mutual Friend
282	897	William Makepeace Thackeray	1855	The Rose and the Ring
283	898	Henry James	1888	The Lesson of the Master
284	902	Oscar Wilde	1888	The Happy Prince
285	903	Arthur Conan Doyle	1891	The White Company
286	910	Jack London	1906	White Fang
287	913	M. Y. Lermontov	1840	A Hero of Our Time
288	914	Charles Dickens	1875	The Uncommercial Traveller
289	917	Charles Dickens	1840	Barnaby Rudge
290	921	Oscar Wilde	1905	De Profundis
291	932	Edgar Allan Poe	1839	The Fall of the House of Usher
292	940	James Fenimore Cooper	1826	The Last of the Mohicans
293	944	Charles Darwin	1839	The Voyage of the Beagle
294	945	Mr. and Mrs. Haldeman-Julius	1980	Metroland
295	946	Jane Austen	1871	Lady Susan
296	949	Victor Appleton	1910	Tom Swift and His Submarine Boat
297	950	Victor Appleton	1910	Tom Swift and His Electric Runabout
298	951	Victor Appleton	1911	Tom Swift and His Sky Racer
299	952	Victor Appleton	1912	Tom Swift and His Air Glider
300	953	Victor Appleton	1916	Tom Swift and His Big Tunnel
301	954	Victor Appleton	1918	Tom Swift and His War Tank
302	955	L. Frank Baum	1913	The Patchwork Girl of Oz
303	956	L. Frank Baum	1914	Tik-Tok of Oz
304	957	L. Frank Baum	1915	The Scarecrow of Oz
305	958	L. Frank Baum	1916	Rinkitink in Oz
306	959	L. Frank Baum	1917	The Lost Princess of Oz
307	960	L. Frank Baum	1918	The Tin Woodman of Oz
308	961	L. Frank Baum	1920	Glinda of Oz
309	963	Charles Dickens	1857	Little Dorrit
310	964	Howard Pyle	1883	The Merry Adventures of Robin Hood
311	965	Alexandre Dumas (Pere)	1850	The Black Tulip
312	966	Thomas Love Peacock	1822	Maid Marian
313	969	Anne Bronte	1848	The Tenant of Wildfell Hall
314	972	Ambrose Bierce	1911	The Devil's Dictionary
315	974	Joseph Conrad	1907	The Secret Agent
316	980	Booth Tarkington	1921	Alice Adams
317	986	Leo Tolstoy	1895	Master and Man
318	996	Miguel de Cervantes Saavedra	1615	Don Quixote
319	996	Miguel de Cervantes Saavedra	1605	Don Quixote
320	1013	H. G. Wells	1901	The First Men in the Moon
321	1015	Francis Parkman, Jr.	1989	The Trial
322	1015	Francis Parkman, Jr.	1925	The Trial
323	1015	Francis Parkman, Jr.	1987	The Trial
324	1022	Henry David Thoreau	1862	Walking
325	1023	Charles Dickens	1853	Bleak House
326	1024	Robert Louis Stevenson and Lloyd Osbourne	1892	The Wrecker
327	1024	Robert Louis Stevenson and Lloyd Osbourne	2009	The Wrecker
328	1027	Zane Grey	1915	The Lone Star Ranger
329	1028	(AKA Charlotte Bronte) Currer Bell	1857	The Professor
330	1032	Henry James	1891	The Pupil
331	1045	William Shakespeare	1593	Venus and Adonis
332	1051	Thomas Carlyle	1833	Sartor Resartus
333	1056	Jack London	1909	Martin Eden
334	1058	Joseph Conrad	1906	The Mirror of the Sea
335	1063	Edgar Allan Poe	1846	The Cask of Amontillado
336	1064	Edgar Allan Poe	1842	The Masque of the Red Death
337	1074	Jack London	1904	The Sea-Wolf
338	1076	Ernest Bramah	1900	The Wallet of Kai Lung
339	1079	Laurence Sterne	1759	The Life and Opinions of Tristram Shandy, Gentleman
340	1080	Jonathan Swift	1729	A Modest Proposal
341	1083	Joseph Conrad	1919	The Arrow of Gold
342	1086	Mark Twain	1907	A Horse's Tale
343	1093	Henry James	1903	The Beast in the Jungle
344	1098	Booth Tarkington	1930	The Turmoil
345	1138	H. G. Wells	1915	The Research Magnificent
346	1142	Joseph Conrad	1902	Typhoon
347	1144	Henry James	1898	In the Cage
348	1145	Anthony Hope	1898	Rupert of Hentzau
349	1153	Edgar Rice Burroughs	1922	The Chessmen of Mars
350	1154	Hugh Lofting	1922	The Voyages of Doctor Dolittle
351	1155	Agatha Christie	1922	The Secret Adversary
352	1156	Sinclair Lewis	1922	Babbitt
353	1158	Booth Tarkington	1916	Penrod and Sam
354	1161	Jack London	1917	Jerry of the Islands
355	1163	Jack London	1911	Adventure
356	1164	Jack London	1908	The Iron Heel
357	1184	Alexandre Dumas, père	1844	The Count of Monte Cristo
358	1188	Bram Stoker	1911	The Lair of the White Worm
359	1190	Henry James	1908	The Jolly Corner
360	1191	William Congreve	2002	The Story of Lucy Gault
361	1192	William Congreve	2002	The Story of Lucy Gault
362	1198	Thomas Alexander Browne, AKA Rolf Boldrewood	1888	Robbery Under Arms
363	1200	Francois Rabelais	1534	Gargantua and Pantagruel
364	1207	H. Rider Haggard	1892	Nada the Lily
365	1210	Lafcadio Hearn	1904	Kwaidan: Stories and Studies of Strange Things
366	1213	Mark Twain	1899	The Man That Corrupted Hadleyburg
367	1220	Honore de Balzac	1836	The Atheist's Mass
368	1227	Charles Darwin	1872	The Expression of the Emotions in Man and Animals
369	1228	Charles Darwin	1859	On the Origin of Species
370	1230	Honore de Balzac	1839	Pierre Grassou
371	1231	Henry Lawson	1900	On the Track
372	1232	Nicolo Machiavelli	1532	The Prince
373	1232	Nicolo Machiavelli	2002	The Prince
374	1232	Nicolo Machiavelli	2005	The Prince
375	1235	Theophile Gautier	1863	Captain Fracasse
376	1245	Virginia Woolf	1919	Night and Day
377	1245	Virginia Woolf	2009	Night and Day
378	1250	Ayn Rand	1938	Anthem
379	1257	Alexandre Dumas, Pere	1844	The Three Musketeers
380	1259	Alexandre Dumas, Pere	1845	Twenty Years After
381	1260	Charlotte Bronte	1847	Jane Eyre
382	1263	Edith Wharton	1922	The Glimpses of the Moon
383	1264	H. G. Wells	1896	The Wheels of Chance
384	1265	Lytton Strachey	1921	Queen Victoria
385	1266	Myrtle Reed	1902	Lavender and Old Lace
386	1267	Ernest Bramah	1922	Kai Lung's Golden Hours
387	1268	Jules Verne	1874	The Mysterious Island
388	1270	H. L. Mencken	1922	Seven Pillars of Wisdom
389	1280	Edgar Lee Masters	1915	Spoon River Anthology
390	1281	Victor Appleton	1915	Tom Swift and His Aerial Warship
391	1282	Victor Appleton	1911	Tom Swift Among the Diamond Makers
392	1283	Victor Appleton	1912	Tom Swift and His Wizard Camera
393	1284	Victor Appleton	1919	Tom Swift and His Air Scout
394	1286	Charles Lamb	1807	Tales from Shakspeare
395	1286	Charles Lamb	1837	Tales from Shakspeare
396	1286	Charles Lamb	1918	Tales from Shakspeare
397	1286	Charles Lamb	1922	Tales from Shakspeare
398	1288	Kenneth Grahame	1898	Dream days
399	1289	Charles Dickens	2007	God Is Not Great
400	1292	William Congreve	2010	The Call of the Mild
401	1294	Honore de Balzac	1838	The Firm of Nucingen
402	1296	John Galt	2009	The Lovers
403	1296	John Galt	1961	The Lovers
404	1298	Owen Wister	1902	The Virginian
405	1300	Zane Grey	1912	Riders of the Purple Sage
406	1302	William Blades	2002	The Story of Lucy Gault
407	1313	Henry Lawson	1900	Over the Sliprails
408	1321	T. S. Eliot	1922	The Waste Land
409	1322	Walt Whitman	1855	Leaves of Grass
410	1323	William H. Prescott	2002	The Story of Lucy Gault
411	1327	“Elizabeth”, AKA Marie Annette Beauchamp	1889	Elizabeth and Her German Garden
412	1329	David Lindsay	1920	A Voyage to Arcturus
413	1332	J. M. Barrie	1906	Peter Pan in Kensington Gardens
414	1342	Jane Austen	1813	Pride and Prejudice
415	1346	Karl Marx	1852	The Eighteenth Brumaire of Louis Napoleon
416	1350	Honore de Balzac	1833	The Country Doctor
417	1353	Jules Verne	1877	Off on a Comet
418	1354	Lucy Maud Montgomery	1912	Chronicles of Avonlea
419	1361	Victor Appleton	1913	Tom Swift and His Giant Cannon
420	1362	Victor Appleton	1920	Tom Swift and His Undersea Search
421	1363	Victor Appleton	1921	Tom Swift Among the Fire Fighters
422	1364	Victor Appleton	1922	Tom Swift and His Electric Locomotive
423	1366	Charles Reade	1845	The Cricket on the Hearth
424	1368	H. Rider Haggard	1919	When the World Shook
425	1376	J. M. Barrie	1902	The Little White Bird
426	1387	Owen Wister	1907	Mother
427	1389	Honore de Balzac	1830	Gobseck
428	1399	Leo Tolstoy	1877	Anna Karenina
429	1400	Charles Dickens	1860	Great Expectations
430	1401	Edgar Rice Burroughs	1920	Tarzan the Untamed
431	1419	Charles Dickens	1866	Mugby Junction
432	1423	Charles Dickens and Wilkie Collins	1867	No Thoroughfare
433	1424	Maria Edgeworth	1800	Castle Rackrent
434	1425	Honore de Balzac	1830	El Verdugo
435	1428	Honore de Balzac	1909	La Grande Bretèche
436	1428	Honore de Balzac	1831	La Grande Bretèche
437	1429	Katherine Mansfield	1994	The Bastard Prince
438	1430	E. Nesbit	1907	Beautiful Stories from Shakespeare
439	1432	Honore de Balzac	1834	Séraphîta
440	1438	Wilkie Collins	1862	No Name
441	1448	Johanna Spyri	1880	Heidi
442	1449	Jack London	1913	The Valley of the Moon
443	1450	Eleanor H. Porter	1915	Pollyanna Grows Up
444	1460	Sir Walter Scott	1816	The Black Dwarf
445	1461	Sir Walter Scott	1819	A Legend of Montrose
446	1463	George Gissing	1903	The Private Papers of Henry Ryecroft
447	1472	Katherine Mansfield	1911	In a German Pension
448	1473	Maria Edgeworth	1812	The Absentee
449	1476	Joseph Conrad	1913	Chance
450	1476	Joseph Conrad	1986	Chance
451	1476	Joseph Conrad	2004	Chance
452	1480	Thomas Hughes	1857	Tom Brown's School Days
453	1482	Honore de Balzac	1844	Modeste Mignon
454	1484	Vicente Blasco Ibanez	1916	The Four Horsemen of the Apocalypse
455	1487	George Bernard Shaw	1898	The Perfect Wagnerite
456	1497	Plato	-380	The Republic
457	1508	William Shakespeare	2002	The Story of Lucy Gault
458	1514	William Shakespeare	1948	Intruder in the Dust
459	1515	William Shakespeare	1959	The Mansion
460	1519	William Shakespeare	2002	The Story of Lucy Gault
461	1525	William Shakespeare	1601	The Phoenix and the Turtle
462	1539	William Shakespeare	2002	The Story of Lucy Gault
463	1540	William Shakespeare	1940	The Hamlet
464	1543	William Shakespeare	1609	A Lover's Complaint
465	1554	Honore de Balzac	1830	Adieu
466	1565	Edward George Bulwer-Lytton	1834	The Last Days of Pompeii
467	1585	Robert Louis Stevenson and Lloyd Osbourne	1889	The Wrong Box
468	1587	Wilkie Collins	1881	The Black Robe
469	1595	O. Henry	1910	Whirligigs
470	1596	Jack London	1912	Smoke Bellew
471	1606	Sir Walter Scott	1821	Kenilworth
472	1614	Julian Hawthorne	1980	Metroland
473	1622	Wilkie Collins	1875	The Law and the Lady
474	1646	O. Henry	1909	Roads of Destiny
475	1649	Honore de Balzac	1834	Ferragus: Chief of the Devorants
476	1651	Emile Gaboriau	1867	The Mystery of Orcival
477	1652	Jules Verne	1875	The Survivors of the Chancellor
478	1656	Plato	-395	Apology
479	1659	Honore de Balzac	1835	The Girl with the Golden Eyes
480	1661	Arthur Conan Doyle	1892	The Adventures of Sherlock Holmes
481	1683	Honore de Balzac	1843	Honorine
482	1685	Gaston Leroux	1907	The Mystery of the Yellow Room
483	1688	Jack London	1903	The People of the Abyss
484	1690	H. Rider Haggard	1912	Marie
485	1695	G. K. Chesterton	1908	The Man Who Was Thursday
486	1698	Jules Verne	1875	The Survivors of the Chancellor
487	1704	Honore de Balzac	1840	Pierrette
488	1710	Honoré de Balzac	1909	La Grande Bretèche
489	1710	Honoré de Balzac	1831	La Grande Bretèche
490	1711	H. Rider Haggard	1913	Child of Storm
491	1714	Honoré de Balzac	1842	Another Study of a Woman
492	1715	Honore de Balzac	1833	Eugénie Grandet
493	1718	G. K. Chesterton	1912	Manalive
494	1720	G.K. Chesterton	1922	The Man Who Knew Too Much
495	1724	H. Rider Haggard	1917	Finished
496	1730	Jack London	1917	Michael, Brother of Jerry
497	1737	Honore de Balzac	1936	Facino Cane
498	1741	Frank L. Packard	1925	The Trial
499	1741	Frank L. Packard	1987	The Trial
500	1741	Frank L. Packard	1989	The Trial
501	1749	Honore de Balzac	1846	Cousin Bette
502	1804	H. G. Wells	1917	War and the Future
503	1807	Richard Harding Davis	1995	The Hot Zone
504	1811	Honore de Balzac	1837	Massimilla Doni
505	1826	Honore de Balzac	1831	Sarrasine
506	1827	Elizabeth Gaskell	1857	The Life of Charlotte Brontë
507	1828	Sir Walter Scott	1828	Chronicles of the Canongate
508	1837	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
509	1840	Theodore Dreiser	1912	The Financier
510	1841	Honore de Balzac	1831	Z. Marcas
511	1842	Jules Verne	1877	Michael Strogoff
512	1843	Richard Harding Davis	1921	Vera
513	1845	Max Beerbohm	1911	Zuleika Dobson
514	1846	William MacLeod Raine	1959	The Mansion
515	1848	H. Rider Haggard	1893	Montezuma's Daughter
516	1857	Anna Katharine Green	1911	Initials Only
517	1858	Rudyard Kipling	1888	Plain Tales from the Hills
518	1860	Charles Kingsley	1855	Westward Ho!
519	1862	Alphonse Daudet	1872	Tartarin of Tarascon
520	1872	A. A. Milne	1922	The Red House Mystery
